"digits","digits 2","digits 3","digits 4","backToTopVisible href 2","product-image src","title","price","badge","badge 2","price 2"
"06","21","19","59","https://www.hepsiburada.com/acer-swift-5-sf514-56t-intel-core-i7-1260p-8gb-512gb-ssd-windows-11-home-14-fhd-ips-ikisi-bir-arada-bilgisayar-nx-k0hey-001-p-HBCV00002WSWWG?magaza=Hepsiburada","https://productimages.hepsiburada.net/s/282/135/110000270537594.jpg","Acer Swift 5 SF514-56T Intel Core i7 1260P 8GB 512GB SSD Windows 11 Home 14'' FHD IPS İkisi Bir Arada Bilgisayar NX.K0HEY.001","26.499,00 TL","%","11","23.498,99 TL"
"06","21","21","59","https://www.hepsiburada.com/casper-nirvana-c500-1165-bv00x-g-f-intel-core-i7-1165g7-16gb-500gb-ssd-freedos-15-6-tasinabilir-bilgisayar-p-HBCV00002V3RP2?magaza=Hepsiburada","https://productimages.hepsiburada.net/s/278/135/110000264991235.jpg","Casper Nirvana C500.1165-BV00X-G-F Intel Core i7 1165G7 16GB 500GB SSD Freedos 15.6"" Taşınabilir Bilgisayar","16.588,99 TL","%","10","14.999,00 TL"
"06","21","19","59","https://www.hepsiburada.com/acer-nitro-5-an515-57-intel-core-i5-11400h-8gb-512gb-ssd-gtx1650-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-nh-qekey-001-p-HBCV00002WSWWI?magaza=Hepsiburada","https://productimages.hepsiburada.net/s/282/135/110000270537599.jpg","Acer Nitro 5 AN515-57 Intel Core i5 11400H 8GB 512GB SSD GTX1650 Freedos 15.6'' FHD 144Hz Taşınabilir Bilgisayar NH.QEKEY.001","16.598,99 TL","%","16","13.998,99 TL"
"06","21","22","59","https://www.hepsiburada.com/casper-nirvana-c500-1135-8v00x-g-f-intel-core-i5-1135g7-8gb-500gb-ssd-freedos-15-6-tasinabilir-bilgisayar-p-HBCV00002V3ROS?magaza=Hepsiburada","https://productimages.hepsiburada.net/s/278/135/110000264991210.jpg","Casper Nirvana C500.1135-8V00X-G-F Intel Core i5 1135G7 8GB 500GB SSD Freedos 15.6"" Taşınabilir Bilgisayar","12.749,00 TL","%","14","10.999,00 TL"
"06","22","07","59","https://www.hepsiburada.com/acer-extensa-ex215-54g-intel-core-i5-1135g7-8-gb-512-gb-ssd-mx350-2-gb-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-eghey-003-p-HBCV00002SM00H?magaza=BOZDAN%20Teknoloji","https://productimages.hepsiburada.net/s/286/135/110000274844135.jpg","Acer Extensa EX215-54G Intel Core I5 1135G7 8 GB 512 GB SSD MX350 2 GB Freedos 15.6"" Fhd Taşınabilir Bilgisayar NX.EGHEY.003","11.279,04 TL","","",""
"06","05","59","59","https://www.hepsiburada.com/lenovo-ideapad-3-15-itl6-intel-core-i5-1135g7-8-gb-1-tb-256-gb-ssd-mx350-freedos-15-6-fhd-tasinabilir-bilgisayar-82h80146tx-p-HBCV00001VI9ZR?magaza=KanyonTeknoloji","https://productimages.hepsiburada.net/s/195/135/110000163163347.jpg","Lenovo Ideapad 3 15 Itl6 Intel Core i5 1135G7 8 GB 1 TB 256 GB SSD MX350 Freedos 15.6"" FHD Taşınabilir Bilgisayar 82H80146Tx","11.999,00 TL","","",""
"00","16","09","59","https://www.hepsiburada.com/msi-katana-gf76-11uc-638tr-intel-core-i7-11800h-16gb-512gb-ssd-rtx3050-17-3-fhd-windows-11-home-tasinabilir-bilgisayar-p-HBCV00002928J3?magaza=Ebrar%20Bilgisayar","https://productimages.hepsiburada.net/s/222/135/110000201663228.jpg","MSI Katana GF76 11UC-638TR İntel Core i7 11800H 16GB 512GB SSD RTX3050 17.3"" FHD Windows 11 Home Taşınabilir Bilgisayar","35.617,43 TL","","",""
"06","19","12","59","https://www.hepsiburada.com/asus-x415ea-ek65516-intel-core-i5-1135g7-16-gb-512-gb-ssd-freedos-14-fhd-tasinabilir-bilgisayar-p-HBCV00002UTO6D?magaza=Vizyon%20Bilgisayar","https://productimages.hepsiburada.net/s/278/135/110000264218990.jpg","Asus X415EA EK65516 Intel Core i5 1135G7 16 GB 512 GB SSD Freedos 14"" FHD Taşınabilir Bilgisayar","11.069,10 TL","","",""
"00","20","05","54","https://www.hepsiburada.com/asus-x515ea-ej1318-intel-i5-1135g7-4gb-ram-256g-ssd-15-6-fredoss-p-HBCV0000312TPF?magaza=Vizyon%20Bilgisayar","https://productimages.hepsiburada.net/s/295/135/110000284719353.jpg","Asus X515EA-EJ1318 Intel I5-1135G7 4gb Ram 256G SSD 15.6"" Fredoss","10.439,10 TL","%","8","9.598,50 TL"
"05","15","08","59","https://www.hepsiburada.com/lenovo-ideapad-gaming-3-amd-ryzen-7-5800h-16gb-512gb-ssd-rtx3050ti-freedos-15-6-165-hz-fhd-tasinabilir-bilgisayar-82k200jwtx-p-HBCV00000BDM22?magaza=Teknorya","https://productimages.hepsiburada.net/s/236/135/110000219767419.jpg","Lenovo IdeaPad Gaming 3 AMD Ryzen 7 5800H 16GB 512GB SSD RTX3050Ti Freedos 15.6"" 165 Hz FHD Taşınabilir Bilgisayar 82K200JWTX","21.999,00 TL","","",""
"05","16","09","59","https://www.hepsiburada.com/dell-inspiron-3511-intel-core-i5-1135g7-8gb-1tb-256gb-ssd-linux-15-6-tasinabilir-bilgisayar-f35obf821n-p-HBCV000014K2N8?magaza=Tekramarket","https://productimages.hepsiburada.net/s/153/135/110000109706952.jpg","Dell Inspiron 3511 Intel Core i5 1135G7 8GB 1TB+256GB SSD Linux 15.6"" Taşınabilir Bilgisayar F35OBF821N","14.399,00 TL","","",""
"05","20","13","59","https://www.hepsiburada.com/lenovo-ip-3-ryzen7-5700u-8gb-512gb-ssd15-6-fhd-82ku00t7tx-freedostasinabilir-bilgisayar-p-HBCV000035FBS0?magaza=by-pro","https://productimages.hepsiburada.net/s/304/135/110000296911800.jpg","Lenovo Ip 3 Ryzen7 5700U 8GB 512GB SSD15.6"" FHD 82KU00T7TX FreedosTaşınabilir Bilgisayar","14.840,03 TL","%","13","12.971,81 TL"
